ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,fedfunds_rate
O:LQD170616P00117000,2017-05-18,2017-06-16,LQD,P,1170.0,4.0,0.1,0.1,0.1,0.1,1.0,1495080000000000000,29.0,Monthly,0.0091
O:LQD170616P00118000,2017-05-18,2017-06-16,LQD,P,1180.0,2.0,0.19,0.19,0.19,0.19,1.0,1495080000000000000,29.0,Monthly,0.0091
O:LQD170616P00119000,2017-05-18,2017-06-16,LQD,P,1190.0,1.0,0.4,0.4,0.4,0.4,1.0,1495080000000000000,29.0,Monthly,0.0091
O:LQD170616C00118000,2017-05-19,2017-06-16,LQD,C,1180.0,1.0,1.97,1.97,1.97,1.97,1.0,1495166400000000000,28.0,Monthly,0.0091
O:LQD170616C00119000,2017-05-19,2017-06-16,LQD,C,1190.0,15.0,1.1,1.1,1.1,1.1,1.0,1495166400000000000,28.0,Monthly,0.0091
O:LQD170616C00120000,2017-05-19,2017-06-16,LQD,C,1200.0,4.0,0.41,0.47,0.47,0.4,4.0,1495166400000000000,28.0,Monthly,0.0091
O:LQD170616C00121000,2017-05-19,2017-06-16,LQD,C,1210.0,2.0,0.15,0.15,0.15,0.15,1.0,1495166400000000000,28.0,Monthly,0.0091
O:LQD170616P00114000,2017-05-19,2017-06-16,LQD,P,1140.0,18.0,0.05,0.05,0.05,0.05,4.0,1495166400000000000,28.0,Monthly,0.0091
O:LQD170616P00115000,2017-05-19,2017-06-16,LQD,P,1150.0,18.0,0.05,0.05,0.05,0.05,2.0,1495166400000000000,28.0,Monthly,0.0091
O:LQD170616P00116000,2017-05-19,2017-06-16,LQD,P,1160.0,18.0,0.05,0.05,0.05,0.05,1.0,1495166400000000000,28.0,Monthly,0.0091
O:LQD170616P00118000,2017-05-19,2017-06-16,LQD,P,1180.0,3.0,0.15,0.15,0.15,0.15,2.0,1495166400000000000,28.0,Monthly,0.0091
O:LQD170721C00120000,2017-06-19,2017-07-21,LQD,C,1200.0,1.0,1.1,1.1,1.1,1.1,1.0,1497844800000000000,32.0,Monthly,0.0104
O:LQD170721C00121000,2017-06-19,2017-07-21,LQD,C,1210.0,2.0,0.47,0.47,0.47,0.47,1.0,1497844800000000000,32.0,Monthly,0.0104
O:LQD170721P00120000,2017-06-19,2017-07-21,LQD,P,1200.0,5.0,0.4,0.4,0.4,0.4,2.0,1497844800000000000,32.0,Monthly,0.0104
O:LQD170721P00121000,2017-06-19,2017-07-21,LQD,P,1210.0,5.0,0.8,0.83,0.83,0.8,3.0,1497844800000000000,32.0,Monthly,0.0104
O:LQD170721C00119000,2017-06-20,2017-07-21,LQD,C,1190.0,1.0,1.8,1.8,1.8,1.8,1.0,1497931200000000000,31.0,Monthly,0.0104
O:LQD170721C00120000,2017-06-20,2017-07-21,LQD,C,1200.0,2.0,0.9,1.05,1.05,0.9,2.0,1497931200000000000,31.0,Monthly,0.0104
O:LQD170721C00121000,2017-06-20,2017-07-21,LQD,C,1210.0,3.0,0.5,0.5,0.5,0.5,1.0,1497931200000000000,31.0,Monthly,0.0104
O:LQD170721C00121000,2017-06-21,2017-07-21,LQD,C,1210.0,202.0,0.5,0.5,0.5,0.5,2.0,1498017600000000000,30.0,Monthly,0.0104
O:LQD170721C00123000,2017-06-21,2017-07-21,LQD,C,1230.0,1.0,0.05,0.05,0.05,0.05,1.0,1498017600000000000,30.0,Monthly,0.0104
O:LQD170721C00134000,2017-06-21,2017-07-21,LQD,C,1340.0,7500.0,0.15,0.1,0.15,0.1,2.0,1498017600000000000,30.0,Monthly,0.0104
O:LQD170721P00120000,2017-06-21,2017-07-21,LQD,P,1200.0,10.0,0.3,0.3,0.3,0.3,1.0,1498017600000000000,30.0,Monthly,0.0104
O:LQD170721P00134000,2017-06-21,2017-07-21,LQD,P,1340.0,7500.0,13.5,13.4,13.5,13.4,2.0,1498017600000000000,30.0,Monthly,0.0104
O:LQD170721C00120000,2017-06-22,2017-07-21,LQD,C,1200.0,50.0,1.23,1.23,1.23,1.23,1.0,1498104000000000000,29.0,Monthly,0.0104
O:LQD170721P00118000,2017-06-22,2017-07-21,LQD,P,1180.0,2.0,0.05,0.05,0.05,0.05,1.0,1498104000000000000,29.0,Monthly,0.0104
O:LQD170721P00120000,2017-06-22,2017-07-21,LQD,P,1200.0,1.0,0.25,0.25,0.25,0.25,1.0,1498104000000000000,29.0,Monthly,0.0104
O:LQD170721P00121000,2017-06-22,2017-07-21,LQD,P,1210.0,3.0,0.6,0.6,0.6,0.6,1.0,1498104000000000000,29.0,Monthly,0.0104
O:LQD170721C00121000,2017-06-23,2017-07-21,LQD,C,1210.0,5.0,0.5,0.5,0.5,0.5,1.0,1498190400000000000,28.0,Monthly,0.0104
O:LQD170721C00122000,2017-06-23,2017-07-21,LQD,C,1220.0,59.0,0.15,0.15,0.15,0.15,1.0,1498190400000000000,28.0,Monthly,0.0104
O:LQD170721P00119000,2017-06-23,2017-07-21,LQD,P,1190.0,2.0,0.1,0.1,0.1,0.1,1.0,1498190400000000000,28.0,Monthly,0.0104
