ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:IWM180119C00154000,2018-01-16,2018-01-19,IWM,C,154.0,13281,1.2,0.66,-3.39,YES,0.96,0.6,0.57,0.36,1.35,0.57,129,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.96,0.85,,
O:IWM180119C00154500,2018-01-16,2018-01-19,IWM,C,154.5,84,1.12,0.56,-3.08,YES,0.88,0.55,0.52,0.33,1.25,0.52,20,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.88,0.78,,
O:IWM180119C00155000,2018-01-16,2018-01-19,IWM,C,155.0,5096,1.0,0.45,-2.77,YES,0.75,0.47,0.38,0.24,1.12,0.38,214,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.75,0.71,,
O:IWM180119C00155500,2018-01-16,2018-01-19,IWM,C,155.5,1102,0.9,0.37,-2.45,YES,0.65,0.41,0.29,0.18,1.0,0.29,79,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.65,0.63,,
O:IWM180119C00156000,2018-01-16,2018-01-19,IWM,C,156.0,2045,0.74,0.24,-2.14,YES,0.54,0.34,0.22,0.13,0.86,0.22,209,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.54,0.54,,
O:IWM180119C00156500,2018-01-16,2018-01-19,IWM,C,156.5,2054,0.65,0.21,-1.83,YES,0.46,0.29,0.16,0.1,0.76,0.16,127,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.46,0.48,,
O:IWM180119C00157000,2018-01-16,2018-01-19,IWM,C,157.0,8706,0.54,0.16,-1.51,YES,0.38,0.24,0.11,0.07,0.66,0.11,399,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.38,0.41,,
O:IWM180119C00157500,2018-01-16,2018-01-19,IWM,C,157.5,2553,0.44,0.11,-1.2,YES,0.32,0.2,0.08,0.05,0.55,0.08,178,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.32,0.34,,
O:IWM180119C00158000,2018-01-16,2018-01-19,IWM,C,158.0,8957,0.36,0.08,-0.88,YES,0.26,0.16,0.06,0.04,0.45,0.06,347,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.26,0.28,,
O:IWM180119C00158500,2018-01-16,2018-01-19,IWM,C,158.5,4483,0.28,0.06,-0.57,YES,0.2,0.12,0.04,0.03,0.36,0.04,216,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.2,0.22,,
O:IWM180119C00159000,2018-01-16,2018-01-19,IWM,C,159.0,44707,0.2,0.04,-0.26,NO,0.16,0.1,0.03,0.02,0.28,0.03,479,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.16,0.18,,
O:IWM180119C00159500,2018-01-16,2018-01-19,IWM,C,159.5,2950,0.16,0.02,0.06,NO,0.12,0.07,0.02,0.01,0.22,0.02,165,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,0.12,0.13,0.0078,0.2852
