ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:ADBE161118C00105000,2016-11-14,2016-11-18,ADBE,C,7.0,280,0.24,0.08,0.24,0.07,39,1479099600000000000,4,104.12,102.42,104.49,101.77,104.49,105.02,106.8,106.8
O:ADBE161118C00110000,2016-11-14,2016-11-18,ADBE,C,7.33,161,0.02,0.01,0.02,0.0,26,1479099600000000000,4,104.12,102.42,104.49,101.77,104.49,105.02,106.8,106.8
O:ADBE161118C00115000,2016-11-14,2016-11-18,ADBE,C,7.67,25,0.02,0.0,0.02,0.0,2,1479099600000000000,4,104.12,102.42,104.49,101.77,104.49,105.02,106.8,106.8
O:ADBE161216C00085000,2016-12-12,2016-12-16,ADBE,C,5.67,4,4.92,4.92,4.92,4.92,1,1481518800000000000,4,104.62,105.16,105.24,103.52,105.24,103.55,107.8,107.8
O:ADBE161216C00090000,2016-12-12,2016-12-16,ADBE,C,6.0,11,3.75,3.72,3.75,3.72,2,1481518800000000000,4,104.62,105.16,105.24,103.52,105.24,103.55,107.8,107.8
O:ADBE161216C00095000,2016-12-12,2016-12-16,ADBE,C,6.33,70,2.44,2.59,2.6,2.4,8,1481518800000000000,4,104.62,105.16,105.24,103.52,105.24,103.55,107.8,107.8
O:ADBE161216C00100000,2016-12-12,2016-12-16,ADBE,C,6.67,689,1.34,1.5,1.52,1.29,47,1481518800000000000,4,104.62,105.16,105.24,103.52,105.24,103.55,107.8,107.8
O:ADBE161216C00105000,2016-12-12,2016-12-16,ADBE,C,7.0,1746,0.56,0.7,0.8,0.45,281,1481518800000000000,4,104.62,105.16,105.24,103.52,105.24,103.55,107.8,107.8
O:ADBE161216C00110000,2016-12-12,2016-12-16,ADBE,C,7.33,1359,0.19,0.24,0.24,0.12,181,1481518800000000000,4,104.62,105.16,105.24,103.52,105.24,103.55,107.8,107.8
O:ADBE161216C00115000,2016-12-12,2016-12-16,ADBE,C,7.67,246,0.04,0.06,0.06,0.04,43,1481518800000000000,4,104.62,105.16,105.24,103.52,105.24,103.55,107.8,107.8
O:ADBE161216C00120000,2016-12-12,2016-12-16,ADBE,C,8.0,12,0.02,0.02,0.02,0.02,3,1481518800000000000,4,104.62,105.16,105.24,103.52,105.24,103.55,107.8,107.8
O:ADBE160219C00075000,2016-02-16,2016-02-19,ADBE,C,5.0,8,0.82,1.01,1.02,0.82,7,1455598800000000000,3,77.13,78.88,79.2,77.13,79.2,80.87,80.94,80.94
O:ADBE160219C00080000,2016-02-16,2016-02-19,ADBE,C,5.33,180,0.2,0.15,0.22,0.1,82,1455598800000000000,3,77.13,78.88,79.2,77.13,79.2,80.87,80.94,80.94
O:ADBE160219C00082500,2016-02-16,2016-02-19,ADBE,C,5.5,53,0.06,0.03,0.06,0.02,15,1455598800000000000,3,77.13,78.88,79.2,77.13,79.2,80.87,80.94,80.94
O:ADBE160219C00085000,2016-02-16,2016-02-19,ADBE,C,5.67,5,0.01,0.02,0.02,0.01,5,1455598800000000000,3,77.13,78.88,79.2,77.13,79.2,80.87,80.94,80.94
O:ADBE160219C00090000,2016-02-16,2016-02-19,ADBE,C,6.0,43,0.01,0.0,0.01,0.0,3,1455598800000000000,3,77.13,78.88,79.2,77.13,79.2,80.87,80.94,80.94
O:ADBE160219C00092500,2016-02-16,2016-02-19,ADBE,C,6.17,47,0.0,0.0,0.01,0.0,5,1455598800000000000,3,77.13,78.88,79.2,77.13,79.2,80.87,80.94,80.94
O:ADBE160219C00095000,2016-02-16,2016-02-19,ADBE,C,6.33,2,0.0,0.0,0.0,0.0,2,1455598800000000000,3,77.13,78.88,79.2,77.13,79.2,80.87,80.94,80.94
O:ADBE160219C00105000,2016-02-16,2016-02-19,ADBE,C,7.0,41,0.02,0.02,0.02,0.02,1,1455598800000000000,3,77.13,78.88,79.2,77.13,79.2,80.87,80.94,80.94
