ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:HOOD210827C00030000,2021-08-23,2021-08-27,HOOD,C,30.0,60.0,14.2,15.1,-35.97,YES,14.4,30.74,13.7,29.24,15.1,13.7,24.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,,,14.4,32.23
O:HOOD210827C00035000,2021-08-23,2021-08-27,HOOD,C,35.0,252.0,9.1,10.91,-25.29,YES,9.7,20.72,8.5,18.14,10.91,8.5,16.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,2.22,0.84,9.7,23.29
O:HOOD210827C00036000,2021-08-23,2021-08-27,HOOD,C,36.0,43.0,8.2,10.0,-23.16,YES,8.85,18.89,7.4,15.8,10.3,7.4,19.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,2.13,0.82,8.85,21.99
O:HOOD210827C00037000,2021-08-23,2021-08-27,HOOD,C,37.0,28.0,6.5,8.1,-21.02,YES,7.75,16.54,6.5,13.87,9.0,6.5,13.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,,,7.75,19.21
O:HOOD210827C00038000,2021-08-23,2021-08-27,HOOD,C,38.0,125.0,6.2,7.7,-18.89,YES,7.11,15.18,5.81,12.4,8.41,5.81,32.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,1.48,0.85,7.11,17.95
O:HOOD210827C00039000,2021-08-23,2021-08-27,HOOD,C,39.0,83.0,5.6,6.3,-16.76,YES,6.2,13.23,4.7,10.03,7.7,4.7,42.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,0.62,0.99,6.2,16.44
O:HOOD210827C00040000,2021-08-23,2021-08-27,HOOD,C,40.0,342.0,4.6,5.4,-14.62,YES,5.25,11.21,4.0,8.54,6.5,4.0,107.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,0.8,0.92,5.25,13.87
O:HOOD210827C00041000,2021-08-23,2021-08-27,HOOD,C,41.0,291.0,4.2,5.1,-12.49,YES,4.51,9.64,3.19,6.81,5.84,3.19,99.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,1.31,0.74,4.51,12.47
O:HOOD210827C00042000,2021-08-23,2021-08-27,HOOD,C,42.0,743.0,3.2,3.5,-10.35,YES,3.74,7.98,2.38,5.08,5.1,2.38,224.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,0.66,0.86,3.74,10.89
O:HOOD210827C00043000,2021-08-23,2021-08-27,HOOD,C,43.0,1784.0,2.5,2.85,-8.22,YES,3.05,6.51,1.85,3.95,4.25,1.85,509.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,0.77,0.73,3.05,9.07
O:HOOD210827C00044000,2021-08-23,2021-08-27,HOOD,C,44.0,5733.0,2.0,2.25,-6.08,YES,2.42,5.18,1.35,2.88,3.5,1.35,999.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,0.81,0.62,2.42,7.47
O:HOOD210827C00045000,2021-08-23,2021-08-27,HOOD,C,45.0,10318.0,1.55,1.75,-3.95,YES,1.95,4.16,1.0,2.13,2.9,1.0,2274.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,0.85,0.51,1.95,6.19
O:HOOD210827C00046000,2021-08-23,2021-08-27,HOOD,C,46.0,7137.0,1.25,1.32,-1.81,YES,1.53,3.27,0.71,1.52,2.35,0.71,1805.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,0.87,0.41,1.53,5.02
O:HOOD210827C00047000,2021-08-23,2021-08-27,HOOD,C,47.0,5347.0,0.95,1.05,0.32,NO,1.18,2.53,0.5,1.07,1.87,0.5,1402.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,0.92,0.33,1.18,3.99
